trip_id,driver_id,pickup_time,dropoff_time,pickup_location,dropoff_location,fare_amount,status
trip_0,driver_32,2025-07-10 00:36:45,2025-07-10 00:55:45,1035 Hagiwara Tea Garden Bayou,38 Vinton Gardens,35.51,completed
trip_1,driver_12,2025-07-10 00:52:18,2025-07-10 01:00:18,536 Mint Street,,16.99,completed
trip_2,driver_31,2025-07-10 00:46:01,2025-07-10 01:38:01,329 Reuel Landing,410 Pollard Station,20.15,completed
trip_3,driver_2,2025-07-10 00:47:16,2025-07-10 01:27:16,781 Jason Lake,875 Colin P Kelly Jr Avenue,,completed
trip_4,driver_48,2025-07-10 00:05:57,2025-07-10 00:54:57,523 Dorland Lodge,939 Roselyn Lane,23.74,completed
trip_5,driver_17,2025-07-10 00:45:09,2025-07-10 01:38:09,806 Arbor Ranch,753 Candyland Point,13.88,completed
trip_6,driver_31,2025-07-10 00:14:59,2025-07-10 00:52:59,676 Huron Extension,1118 San Luis Ferry,6.54,completed
trip_7,driver_26,2025-07-10 00:27:47,2025-07-10 00:51:47,1240 Prado Heights,,36.19,completed
trip_8,driver_25,2025-07-10 00:36:33,2025-07-10 00:49:33,890 Bowman Trace,1095 Overlook Freeway,35.74,completed
trip_9,driver_38,2025-07-10 00:23:26,2025-07-10 00:48:26,939 Silverview Rapids,957 Margrave Run,31.89,completed
trip_10,driver_8,2025-07-10 00:47:40,2025-07-10 01:08:40,458 John F Shelley Park,,34.37,completed
trip_11,driver_10,2025-07-10 00:05:00,2025-07-10 00:40:00,537 Rose Mews,444 Macedonia Bayou,32.48,completed
trip_12,driver_14,2025-07-10 00:23:28,2025-07-10 01:04:28,986 Greenspring Viaduct,546 Storrie Route,42.95,completed
trip_13,driver_23,2025-07-10 00:18:36,2025-07-10 00:47:36,1365 Virgil Ferry,74 Rhode Island Mall,42.91,completed
trip_14,driver_25,2025-07-10 00:48:57,2025-07-10 01:43:57,444 Genoa Path,466 Peralta Trace,49.84,completed
trip_15,driver_7,2025-07-10 00:23:34,2025-07-10 00:32:34,149 Conwell Pike,198 Littlefield Terrace,26.44,completed
trip_16,driver_36,2025-07-10 00:42:08,2025-07-10 01:15:08,761 Spooner Place,443 Florida Landing,18.47,completed
trip_17,driver_28,2025-07-10 00:00:11,2025-07-10 00:46:11,1155 Lathrop Square,289 Pacheco Ferry,12.47,completed
trip_18,driver_19,2025-07-10 00:33:53,2025-07-10 00:42:53,336 Adam Cove,1133 Kenwood Walk,42.92,completed
trip_19,driver_9,2025-07-10 00:29:05,2025-07-10 00:57:05,291 Day Point,1194 Noriega Green,28.61,completed
trip_20,driver_28,2025-07-10 00:27:30,2025-07-10 00:43:30,9 Surrey Highway,1315 Thomas More Loop,41.21,completed
trip_21,driver_45,2025-07-10 00:24:25,2025-07-10 00:32:25,326 Cascade Station,436 Fell Mall,42.82,completed
trip_22,driver_9,2025-07-10 00:08:24,2025-07-10 00:57:24,337 Thornton Terrace,1102 Persia Trace,35.33,completed
trip_23,driver_21,2025-07-10 00:49:07,2025-07-10 01:11:07,1254 Lassen Estate,1323 Knockash Heights,21.32,cancelled
trip_24,driver_47,2025-07-10 00:18:51,2025-07-10 00:48:51,1284 Gerke Annex,491 Charles J Brenham Landing,17.08,completed
trip_25,driver_3,2025-07-10 00:05:23,2025-07-10 00:42:23,882 Hare Annex,416 Sutro Heights Bend,37.93,completed
trip_26,driver_49,2025-07-10 00:54:51,2025-07-10 01:12:51,1206 Judah Viaduct,168 La Salle Turnpike,24.82,completed
trip_27,driver_24,2025-07-10 00:55:34,2025-07-10 01:13:34,123 Northgate Glen,1217 Minnesota Freeway,29.52,completed
trip_28,driver_2,2025-07-10 00:32:57,2025-07-10 00:56:57,956 Wilder Circle,287 Cleveland Lane,21.82,completed
trip_29,driver_30,2025-07-10 00:24:15,2025-07-10 01:06:15,845 Valencia Trace,1399 Van Keuren Turnpike,,cancelled
trip_30,driver_47,2025-07-10 00:14:51,2025-07-10 01:07:51,1008 Ingalls Bayou,1213 Noe Manor,25.03,completed
trip_31,driver_17,2025-07-10 00:26:29,2025-07-10 01:05:29,1369 Leo Street,501 Riley Garden,26.63,completed
trip_32,driver_18,2025-07-10 00:10:47,2025-07-10 00:49:47,49 Donner Pine,95 Harper Parkway,22.8,completed
trip_33,driver_24,2025-07-10 00:34:13,2025-07-10 00:40:13,1004 Farnsworth Highway,780 Mckinnon Street,24.49,completed
trip_34,driver_34,2025-07-10 00:22:31,2025-07-10 01:20:31,420 Bucareli Boulevard,1388 Kobbe Pass,36.13,completed
trip_35,driver_25,2025-07-10 00:22:22,2025-07-10 01:17:22,142 Clairview Street,1143 Hussey Square,25.26,completed
trip_36,driver_39,2025-07-10 00:57:29,2025-07-10 01:25:29,289 Peters Center,430 Via Bufano Heights,17.15,completed
trip_37,driver_49,2025-07-10 00:11:58,2025-07-10 00:20:58,974 Sydney Arcade,1315 Megan Station,27.4,completed
trip_38,driver_45,2025-07-10 00:25:49,2025-07-10 00:52:49,1391 Upper Row,1345 Harry Gardens,18.72,completed
trip_39,driver_50,2025-07-10 00:48:41,2025-07-10 01:29:41,716 Rosie Lee Lake,1294 Rex Plaza,47.23,completed
trip_40,driver_13,2025-07-10 00:43:58,2025-07-10 01:01:58,459 Gerke Motorway,584 Reuel Cove,22.21,completed
trip_41,driver_14,2025-07-10 00:16:57,2025-07-10 00:21:57,1241 Seville Crescent,25 Longview Heights,35.03,completed
trip_42,driver_36,2025-07-10 00:30:04,2025-07-10 01:12:04,577 Euclid Park,208 Chatham Creek,21.16,completed
trip_43,driver_6,2025-07-10 00:49:19,2025-07-10 01:06:19,1105 Bruce Cove,1363 Brady Canyon,49.58,completed
trip_44,driver_26,2025-07-10 00:17:50,2025-07-10 00:46:50,294 Auto Glen,132 Gerke Extension,42.78,completed
trip_45,driver_17,2025-07-10 00:26:43,2025-07-10 00:58:43,839 Hiliritas Bypass,660 Douglass Grove,29.23,completed
trip_46,driver_28,2025-07-10 00:14:35,2025-07-10 00:23:35,397 Ora Heights,599 Humboldt Bridge,35.79,completed
trip_47,driver_20,2025-07-10 00:49:57,2025-07-10 01:02:57,1083 Bishop Gardens,563 Longview Place,18.47,completed
trip_48,driver_26,2025-07-10 00:17:17,2025-07-10 01:12:17,919 Clayton Motorway,213 Fella Pass,11.09,completed
trip_49,driver_16,2025-07-10 00:16:55,2025-07-10 00:31:55,1046 Pacheco Bend,,38.91,completed
trip_50,driver_2,2025-07-10 00:56:50,2025-07-10 01:38:50,1227 Armistead Manor,747 Hillway Ferry,11.84,completed
trip_51,driver_6,2025-07-10 00:36:41,2025-07-10 01:24:41,887 Stag Trail Alley,1058 Dukes Row,30.82,completed
trip_52,driver_17,2025-07-10 00:23:50,2025-07-10 00:46:50,844 Stevenson Extension,490 Maywood Point,25.03,completed
trip_53,driver_33,2025-07-10 00:00:30,2025-07-10 00:30:30,952 Regent Square,281 Diamond Heights Field,39.02,completed
trip_54,driver_40,2025-07-10 00:03:25,2025-07-10 00:53:25,1381 Guy Cove,318 Cielito Extension,21.63,completed
trip_55,driver_29,2025-07-10 00:33:29,2025-07-10 01:30:29,481 Marsily Court,78 Fenton Arcade,31.76,completed
trip_56,driver_17,2025-07-10 00:18:09,2025-07-10 01:13:09,151 Rayburn Green,815 Via Bufano Circle,21.38,cancelled
trip_57,driver_41,2025-07-10 00:32:52,2025-07-10 01:21:52,267 Mizpah Stravenue,1200 Hickory Shore,14.06,completed
trip_58,driver_47,2025-07-10 00:34:00,2025-07-10 01:30:00,,1289 Linda Vista Turnpike,36.43,completed
trip_59,driver_6,2025-07-10 00:20:09,2025-07-10 00:37:09,903 Chilton Circle,703 Mary Teresa Drive,25.54,completed
trip_60,driver_23,2025-07-10 00:20:58,2025-07-10 01:08:58,701 Aerial Pass,1224 Dearborn Freeway,16.32,completed
trip_61,driver_45,2025-07-10 00:57:37,2025-07-10 01:37:37,1274 North Gate Point,924 Dirk Dirksen Trace,45.75,completed
trip_62,driver_23,2025-07-10 00:12:24,2025-07-10 00:27:24,1123 Garlington Lake,1047 Topeka Center,13.86,in_progress
trip_63,driver_37,2025-07-10 00:09:41,2025-07-10 00:36:41,162 Baxter Avenue,,23.72,completed
trip_64,driver_15,2025-07-10 00:20:14,2025-07-10 00:57:14,398 Mission Bay Estate,160 Birchwood Run,25.63,completed
trip_65,driver_36,2025-07-10 00:20:03,2025-07-10 01:15:03,1215 Rodriguez Pass,747 Calgary Drive,27.51,completed
trip_66,driver_33,2025-07-10 00:03:38,2025-07-10 00:49:38,179 Ash Park,1331 Sequoia Expressway,19.59,completed
trip_67,driver_50,2025-07-10 00:13:14,2025-07-10 00:24:14,151 Wyton Ferry,706 Hutchins Crossing,,completed
trip_68,driver_8,2025-07-10 00:49:34,2025-07-10 01:10:34,890 Post Road,357 Brush Mews,24.88,completed
trip_69,driver_34,2025-07-10 00:59:33,2025-07-10 01:52:33,897 Prentiss Estate,474 Woodside Pass,,in_progress
trip_70,driver_23,2025-07-10 00:30:49,2025-07-10 01:09:49,862 Castle Pike,1344 North View Motorway,30.55,completed
trip_71,driver_34,2025-07-10 00:32:10,2025-07-10 01:19:10,285 Van Buren Point,1170 Orchard Station,27.68,cancelled
trip_72,driver_48,2025-07-10 00:42:20,2025-07-10 01:32:20,929 Valerton Bayou,387 Woodside Path,7.05,completed
trip_73,driver_2,2025-07-10 00:54:05,2025-07-10 01:10:05,34 Ver Mehr Lodge,548 Noriega Canyon,10.75,completed
trip_74,driver_13,2025-07-10 00:25:08,2025-07-10 00:57:08,87 Fair Oaks Plaza,653 Huntington Mews,5.92,completed
trip_75,driver_37,2025-07-10 00:02:17,2025-07-10 00:42:17,439 Market Viaduct,830 Whipple Bypass,18.97,completed
trip_76,driver_23,2025-07-10 00:10:07,2025-07-10 01:03:07,679 Crook Road,468 Craig Drive,22.57,completed
trip_77,driver_44,2025-07-09 23:44:06,2025-07-10 00:28:06,737 Lundys Trace,547 Berwick Path,19.36,completed
trip_78,driver_2,2025-07-09 23:54:49,2025-07-09 23:59:49,609 Landers Grove,955 Alpha Circle,32.35,completed
trip_79,driver_2,2025-07-09 23:44:20,2025-07-10 00:39:20,45 Perry Lodge,1355 Winthrop Crescent,8.4,completed
trip_80,driver_9,2025-07-09 23:55:49,2025-07-10 00:27:49,567 Clementina Garden,1048 Felix Crossing,19.22,completed
trip_81,driver_33,2025-07-09 23:42:59,2025-07-10 00:20:59,108 Hardie Spur,177 Castro Point,41.14,completed
trip_82,driver_12,2025-07-09 23:04:06,2025-07-09 23:25:06,1352 Graham Run,1231 Cascade Extension,33.3,cancelled
trip_83,driver_30,2025-07-09 23:32:10,2025-07-10 00:18:10,219 Shephard Glen,1227 Vine Lodge,9.88,completed
trip_84,driver_28,2025-07-09 23:59:32,2025-07-10 00:05:32,,423 Lakeview Hill,23.15,completed
trip_85,driver_43,2025-07-09 23:32:14,2025-07-09 23:37:14,1143 Washington Row,229 Ofarrell Annex,42.61,completed
trip_86,driver_5,2025-07-09 23:30:27,2025-07-10 00:03:27,574 Golden Spur,521 Jason Extension,39.36,completed
trip_87,driver_33,2025-07-09 23:33:46,2025-07-10 00:32:46,329 Megan Landing,1340 Cunningham Mews,,cancelled
trip_88,driver_14,2025-07-09 23:12:45,2025-07-09 23:56:45,122 Weston Trail,658 Saint Croix Grove,8.52,completed
trip_89,driver_26,2025-07-09 23:41:31,2025-07-10 00:11:31,484 North View Run,213 Mission Bay Drive,26.45,completed
trip_90,driver_22,2025-07-09 23:24:54,2025-07-09 23:33:54,957 Cashmere Motorway,1253 Raycliff Path,16.99,completed
trip_91,driver_21,2025-07-09 23:20:35,2025-07-09 23:31:35,102 Rousseau Heights,518 Pacheco Arcade,13.84,completed
trip_92,driver_43,2025-07-09 23:47:35,2025-07-10 00:40:35,1258 Connecticut Boulevard,748 Washington Estate,47.61,completed
trip_93,driver_11,2025-07-09 23:35:16,2025-07-09 23:52:16,25 Opalo Creek,488 Silverview Avenue,37.1,completed
trip_94,driver_13,2025-07-09 23:45:39,2025-07-10 00:10:39,463 Serrano Run,1379 Perego Road,46.69,completed
trip_95,driver_17,2025-07-09 23:29:41,2025-07-09 23:55:41,919 El Camino Del Mar Arcade,301 Harlem Expressway,42.82,completed
trip_96,driver_26,2025-07-09 23:59:27,2025-07-10 00:34:27,955 Stratford Alley,351 Morris Viaduct,31.51,completed
trip_97,driver_31,2025-07-09 23:32:32,2025-07-10 00:03:32,396 Navajo Street,995 Moscow Ranch,40.11,completed
trip_98,driver_7,2025-07-09 23:16:14,2025-07-09 23:27:14,529 Stoneman Lane,1065 Balhi Lane,5.95,completed
trip_99,driver_50,2025-07-09 23:37:03,2025-07-10 00:27:03,692 Mojave Arcade,1234 Bayview Garden,12.27,completed
trip_100,driver_37,2025-07-09 23:39:47,2025-07-10 00:32:47,720 Willie B Kennedy Pine,749 West View Point,21.97,completed
trip_101,driver_8,2025-07-09 23:01:17,2025-07-09 23:44:17,78 Garnett Court,52 Tandang Sora Pine,19.11,completed
trip_102,driver_29,2025-07-09 23:33:06,2025-07-10 00:02:06,875 Prentiss Row,1212 Euclid Alley,42.8,completed
trip_103,driver_42,2025-07-09 23:10:55,2025-07-09 23:36:55,1033 Lobos Court,1052 Acton Rapids,46.04,completed
trip_104,driver_16,2025-07-09 23:04:39,2025-07-09 23:38:39,1142 Cameo Path,1343 Illinois Extension,19.07,cancelled
trip_105,driver_7,2025-07-09 23:37:14,2025-07-10 00:27:14,1285 Vara Turnpike,356 Isis Ranch,19.24,completed
trip_106,driver_37,2025-07-09 23:53:46,2025-07-10 00:09:46,748 Vermont Expressway,784 Castro Station,29.76,completed
trip_107,driver_37,2025-07-09 23:01:22,2025-07-09 23:37:22,1353 Humboldt Run,279 Miley Bend,,completed
trip_108,driver_35,2025-07-09 23:25:22,2025-07-09 23:37:22,1075 Leona Heights,475 Dakota Freeway,6.44,completed
trip_109,driver_47,2025-07-09 23:05:57,2025-07-09 23:46:57,1053 Kinzey Landing,772 Science Place,38.36,completed
trip_110,driver_30,2025-07-09 23:32:21,2025-07-10 00:02:21,345 Malden Bend,1367 Bank Gardens,25.58,completed
