trip_id,driver_id,user_id,pickup_time,dropoff_time,pickup_location,dropoff_location,fare_amount,status
trip_0,driver_14,user_66,2025-07-10 17:44:58,2025-07-10 18:20:58,989 Western Shore Park,923 Kennedy Viaduct,5.78,completed
trip_1,driver_15,user_52,2025-07-10 08:23:32,2025-07-10 08:32:32,994 Delaware Ferry,1203 Beideman Center,,in_progress
trip_2,driver_13,user_60,2025-07-10 18:59:09,2025-07-10 19:56:09,988 Seville Terrace,803 Mirando Green,38.78,completed
trip_3,driver_19,user_75,2025-07-10 20:18:31,2025-07-10 21:00:31,606 Turner Cove,215 Shannon Loop,30.3,in_progress
trip_4,driver_8,user_60,2025-07-10 14:57:34,2025-07-10 15:12:34,448 E Annex,133 Rolph Shore,,cancelled
trip_5,driver_20,user_66,2025-07-10 00:21:05,2025-07-10 01:17:05,704 Stoneridge Bridge,161 Old Mason Pike,41.39,completed
trip_6,driver_19,user_71,2025-07-10 07:53:47,2025-07-10 08:39:47,464 Ordway Pike,584 Illinois Lodge,33.2,completed
trip_7,driver_20,user_67,2025-07-10 00:02:11,2025-07-10 00:10:11,440 Sawyer Stravenue,453 Sixth Hill,13.56,completed
trip_8,driver_8,user_68,2025-07-10 18:25:59,2025-07-10 18:45:59,1049 Telegraph Hill Drive,1385 Francis Green,42.0,completed
trip_9,driver_3,user_70,2025-07-10 17:04:15,2025-07-10 17:09:15,375 Gorham Terrace,,14.15,completed
trip_10,driver_11,user_60,2025-07-10 06:32:23,2025-07-10 06:46:23,512 Eureka Drive,1354 Lower Fort Mason Hills,28.24,in_progress
trip_11,driver_11,user_69,2025-07-10 22:51:41,2025-07-10 23:05:41,459 Marlin Avenue,,33.2,completed
trip_12,driver_10,user_56,2025-07-10 16:37:00,2025-07-10 16:44:00,633 Elliot Street,521 Gladeview Lane,,in_progress
trip_13,driver_16,user_76,2025-07-10 13:40:32,2025-07-10 14:28:32,640 Vinton Bridge,122 Serrano Bend,38.13,completed
trip_14,driver_10,user_67,2025-07-10 09:38:29,2025-07-10 10:12:29,378 Dock Pike,380 Mason Loop,30.89,completed
trip_15,driver_15,user_50,2025-07-10 05:40:45,2025-07-10 06:33:45,328 Magellan Pike,20 Reeves Plaza,45.96,completed
trip_16,driver_10,user_62,2025-07-10 10:55:01,2025-07-10 11:14:01,1158 Santa Marina Ranch,269 Belden Pike,20.61,completed
trip_17,driver_2,user_62,2025-07-10 11:42:37,2025-07-10 12:36:37,,1089 Anson Lake,,in_progress
trip_18,driver_9,user_76,2025-07-10 08:18:24,2025-07-10 08:46:24,733 Nido Cove,550 Melra Crossing,33.73,completed
trip_19,driver_9,user_49,2025-07-10 02:47:01,2025-07-10 03:11:01,153 Gibson Trail,877 Sunnyside Ranch,,cancelled
trip_20,driver_14,user_69,2025-07-10 12:31:33,2025-07-10 12:46:33,1112 South Gate Green,24 Holloway Arcade,37.7,completed
trip_21,driver_14,user_62,2025-07-10 03:51:30,2025-07-10 04:44:30,80 Vista Verde Bend,,47.2,completed
trip_22,driver_4,user_63,2025-07-10 10:43:33,2025-07-10 10:50:33,467 Locust Shore,579 Talbert Glen,29.1,completed
trip_23,driver_19,user_49,2025-07-10 16:26:10,2025-07-10 16:39:10,409 Conservatory Access Bypass,,25.25,completed
trip_24,driver_10,user_65,2025-07-10 08:48:16,2025-07-10 09:32:16,634 The Block Pike,955 Reeves Place,24.27,completed
trip_25,driver_1,user_58,2025-07-10 21:48:58,2025-07-10 22:37:58,178 Seward Boulevard,1021 Rainey Loop,20.59,cancelled
trip_26,driver_7,user_53,2025-07-10 19:58:03,2025-07-10 20:25:03,,52 Sola Motorway,23.33,completed
trip_27,driver_10,user_45,2025-07-10 00:16:24,2025-07-10 00:21:24,430 Holland Street,1239 Ahern Bridge,,cancelled
trip_28,driver_15,user_71,2025-07-10 03:54:51,2025-07-10 04:50:51,1388 Bercut Access Glen,126 Jamestown Extension,,in_progress
trip_29,driver_17,user_61,2025-07-10 21:13:11,2025-07-10 21:59:11,605 Ohlone Lodge,1050 Avenue F Freeway,26.4,completed
trip_30,driver_10,user_57,2025-07-10 09:16:59,2025-07-10 09:56:59,703 Westwood Lake,539 Winding Gardens,7.32,cancelled
trip_31,driver_3,user_71,2025-07-10 16:06:02,2025-07-10 16:23:02,,1353 Castle Canyon,40.71,cancelled
trip_32,driver_2,user_62,2025-07-10 03:21:35,2025-07-10 03:50:35,656 Stratford Mews,1205 Farallones Crossing,44.13,completed
trip_33,driver_1,user_60,2025-07-10 18:41:46,2025-07-10 18:57:46,280 Keyes Ferry,793 Juanita Field,6.43,completed
trip_34,driver_19,user_52,2025-07-10 22:51:05,2025-07-10 23:35:05,1378 Bella Vista Pike,789 Mccoppin Park,32.28,cancelled
trip_35,driver_4,user_76,2025-07-10 13:18:41,2025-07-10 14:12:41,607 Islais Avenue,1152 Cecilia Trail,38.84,completed
trip_36,driver_17,user_72,2025-07-10 16:39:16,2025-07-10 16:44:16,1290 De Boom Arcade,724 Vulcan Extension,,in_progress
trip_37,driver_9,user_65,2025-07-10 12:38:39,2025-07-10 12:59:39,943 Hitchcock Run,997 Fisher Viaduct,39.54,completed
trip_38,driver_9,user_76,2025-07-10 00:39:06,2025-07-10 01:21:06,769 El Camino Del Mar Canyon,1357 Stoneybrook Field,31.71,completed
trip_39,driver_1,user_62,2025-07-10 11:14:12,2025-07-10 11:55:12,316 Avenue F Crescent,869 Campton Bend,15.43,completed
trip_40,driver_7,user_48,2025-07-10 12:38:57,2025-07-10 12:50:57,,759 Quincy Parkway,37.78,completed
trip_41,driver_6,user_56,2025-07-10 21:05:44,2025-07-10 21:18:44,929 Mckinnon Lake,837 Milton I Ross Boulevard,5.05,completed
trip_42,driver_16,user_49,2025-07-10 03:58:18,2025-07-10 04:50:18,1341 Pino Path,568 Paper Shore,,completed
trip_43,driver_11,user_69,2025-07-10 03:08:00,2025-07-10 04:04:00,816 Winter Bypass,1029 Hyde Pike,21.83,completed
trip_44,driver_4,user_69,2025-07-10 08:04:58,2025-07-10 08:09:58,1009 Card Terrace,981 Loraine Manor,,completed
